,device_id,latitude,longitude,city,state
2471781,-3.782396366503199e+18,26.944071,75.817451,Jaipur,Rajasthan
2471892,-8.216566141867726e+18,26.942924,75.830536,Jaipur,Rajasthan
2471989,-4.5451824855084964e+18,26.963909,75.820869,Jaipur,Rajasthan
2472028,8.956719592741347e+18,26.953453,75.820839,Jaipur,Rajasthan
2472142,1.9596661554518152e+18,26.953354,75.871269,Jaipur,Rajasthan
2472210,-2.898663005724347e+18,27.005243,75.871788,Jaipur,Rajasthan
2472340,-3.356125840749197e+17,26.934889,75.877327,Jaipur,Rajasthan
2472345,6.348337788809332e+17,26.989004,75.868019,Jaipur,Rajasthan
2472890,-7.655004082232943e+18,27.009756,75.889114,Jaipur,Rajasthan
2473147,-7.466536550927835e+18,26.977121,75.860573,Jaipur,Rajasthan
2473200,-8.032402562013371e+18,26.935968,75.858963,Jaipur,Rajasthan
2473476,-1.9927975643311293e+18,26.965488,75.896996,Jaipur,Rajasthan
2473500,-7.917134395579564e+17,26.997412,75.83075,Jaipur,Rajasthan
2473518,2.5853035885515653e+18,27.00758,75.835098,Jaipur,Rajasthan
2473560,-3.181040644136324e+18,26.996401,75.810829,Jaipur,Rajasthan
2473602,-3.405024373673521e+18,26.951416,75.845825,Jaipur,Rajasthan
2473636,5.244660530868067e+18,26.964693,75.895721,Jaipur,Rajasthan
2473715,6.561070360513473e+18,26.948282,75.831367,Jaipur,Rajasthan
2473796,7.406171843627555e+18,26.959597,75.863739,Jaipur,Rajasthan
2473810,3.6858696430717906e+18,26.995981,75.813072,Jaipur,Rajasthan
2473884,2.3023717813122642e+18,26.981066,75.8237,Jaipur,Rajasthan
2473958,6.690550053483723e+18,27.013018,75.833305,Jaipur,Rajasthan
2474149,7.128336809833903e+18,26.949602,75.814926,Jaipur,Rajasthan
2474175,-8.202893605501281e+18,27.012629,75.863052,Jaipur,Rajasthan
2474195,6.231531635296906e+18,26.968983,75.813812,Jaipur,Rajasthan
2474235,-8.460337302442786e+18,26.960796,75.846008,Jaipur,Rajasthan
2474787,-5.16916203331541e+18,26.930193,75.865959,Jaipur,Rajasthan
2474933,8.341926239944478e+18,26.945999,75.844048,Jaipur,Rajasthan
2474975,-4.0066610224581565e+18,26.967024,75.831017,Jaipur,Rajasthan
2475171,8.992090522809921e+18,26.967766,75.813828,Jaipur,Rajasthan
2475280,4.290532066333247e+18,27.013094,75.814034,Jaipur,Rajasthan
2475300,-1.2905042881982538e+18,26.944948,75.86776,Jaipur,Rajasthan
2475308,-9.095502365589018e+18,26.996279,75.836029,Jaipur,Rajasthan
2475342,1.2840175934321472e+18,27.016684,75.869476,Jaipur,Rajasthan
2475358,-8.766380729494773e+18,26.971094,75.83989,Jaipur,Rajasthan
2475414,-5.43085595706835e+18,26.979918,75.838165,Jaipur,Rajasthan
2475444,-1.695748495865897e+18,26.977398,75.857857,Jaipur,Rajasthan
2475570,2.962168528435351e+18,26.971594,75.881172,Jaipur,Rajasthan
2475592,1.4691622645535793e+18,26.993298,75.884453,Jaipur,Rajasthan
2475645,-4.973214920059881e+18,26.943642,75.839333,Jaipur,Rajasthan
2475832,9.114671627237622e+18,27.005072,75.844131,Jaipur,Rajasthan
2475833,-8.488852034426992e+18,26.936031,75.834702,Jaipur,Rajasthan
2475840,-3.5945271445111485e+18,26.971827,75.824745,Jaipur,Rajasthan
2476067,8.922292400789778e+18,26.973085,75.833595,Jaipur,Rajasthan
2476107,-9.986967715166232e+17,26.941647,75.871284,Jaipur,Rajasthan
2476114,8.188135230868876e+18,26.935156,75.892097,Jaipur,Rajasthan
